CERCID,RESEARCHER,SITE,TREATMENT,ORDER,INGFIRST,COREL.L,INGROUP,SUM1,COREL.S,SELF,SUM2,HONEST,SEX,AGE,AGE.C,FAMILY,CHILDREN,FORMALED,HOUSEHOLD,NATLANG,MAT1,MAT1C,MAT2,MAT2C,MAT3,MAT3C,MAT4,MAT4C,MMAT,MMATc,BGLG1ST,HIGHGOD.BG,OMNI.BG,DIEPUN,DKDIEPUN,MBG,BGR1,BGR2,BGTHINK,BGPERF,BGPERFHO,BGFREQW,BGPUNISH,BGSTEAL,BGSTLIMP,BGLYING,BGLIEIMP,BGMURDER,BGMURDIMP,BGFEEL,BGSEE,BGREWARD,BGDIE,BGSTRANGER,BGOTHERRIT,BGPERFC,HIGHGOD.LG,OMNI.LG,LGDIEPUN,MLG,LGR1,LGR2,LGTHINK,LGPERF,LGPERFHO,LGFREQW,LGPUNISH,LGSTEAL,LGSTEALIMP,LGLYING,LGLIEIMP,LGMURDER,LGMURDIMP,LGFEEL,LGSEE,LGREWARD,LGDIE,LGSTRANGER,LGOTHERRIT,LGPERFC,POLEVAL,CORELEMO,INGREMO,OUTGREMO,CORELSIM,BGTHINKH,BGFREQWH,BGSTEALH,BGLYINGH,BGMURDERH,BGREWARDH,LGTHINKH,LGFREQWH,LGSTEALH,LGLYINGH,LGMURDERH,LGREWARDH,POLEVALH,CORELEMOH,INGREMOH,OUTGREMOH
CERC313,Xygalatas,Mauritius,1,21,0,14,16,30,18,12,30,0,1,33,-4.4,4,2,6,4,NA,0,2,0,2,0,2,0,1,0,1.75,1,1,1,1,0,2,0.33,0.33,3,1,3,0,1,1,1,1,1,3,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC314,Xygalatas,Mauritius,1,21,0,15,15,30,12,18,30,0,0,47,9.6,2,3,11,4,NA,0,1,0,2,1,-2,1,-1,0.5,0,1,1,1,1,0,2,0.67,0.67,4,1,1,3,1,1,1,2,2,1,3,1,1,2,1,0,1,1,0.75,1,0.5,1.33,0.33,0.33,4,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0,1,1,2,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC315,Xygalatas,Mauritius,1,21,0,15,15,30,15,15,30,0,0,35,-2.4,2,2,9,18,NA,0,2,0,0,0,0,0,2,0,1,1,1,1,1,0,0,1,1,4,1,4,0,1,0,0,0,0,1,0,1,1,3,1,0,1,0,0.75,1,0.5,1.33,1,1,0,0,0,0,1,1,1,1,1,1,2,1,1,3,0,1,1,1,-1,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC316,Xygalatas,Mauritius,1,21,0,20,10,30,14,16,30,0,1,22,-15.4,1,0,6,4,NA,0,2,0,1,0,2,0,2,0,1.75,1,0.75,1,0.5,0,3.33,1,1,1,1,1,1,1,1,3,1,4,2,3,1,1,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,1,0,0,3,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC317,Xygalatas,Mauritius,1,21,0,20,10,30,11,19,30,0,1,24,-13.4,1,0,11,5,NA,0,2,0,2,0,2,0,2,0,2,1,1,1,1,0,2.33,0.67,0.67,4,1,4,3,1,3,3,3,1,1,3,1,1,2,1,1,1,1,0.75,0.5,1,1.33,1,1,0,0,NA,0,1,0,1,0,0,0,3,0,1,3,1,1,1,1,1,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC318,Xygalatas,Mauritius,1,12,1,18,12,30,13,17,30,0,0,40,2.6,2,2,11,4,NA,0,2,0,1,0,1,0,-1,0,0.75,1,0.5,1,0,0,2.33,0.67,0.67,4,1,4,3,0,0,2,1,3,1,2,1,1,2,0,1,0,0,0.25,0,0.5,1.33,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,2,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC319,Xygalatas,Mauritius,1,12,1,22,8,30,17,13,30,0,1,78,40.6,2,3,6,3,NA,0,2,0,0,1,0,1,-2,0.5,0,1,0.5,1,0,0,1.67,0.67,0.67,4,1,4,1,0,1,2,0,3,1,0,1,1,2,0,0,0,1,0.25,0,0.5,1.67,0,0,3,1,3,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,4,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC320,Xygalatas,Mauritius,1,21,0,15,15,30,15,15,30,0,0,18,-19.4,1,0,6,3,NA,0,2,0,2,0,2,1,0,0.25,1.5,1,1,1,1,0,2.33,1,1,4,1,4,3,1,2,2,2,2,2,3,1,1,3,1,1,0,1,0.25,0,0.5,2.33,0,0,0,0,0,0,1,3,2,2,2,2,3,0,0,0,0,0,0,0,1,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC321,Xygalatas,Mauritius,1,12,1,16,14,30,19,11,30,0,1,19,-18.4,1,0,11,3,NA,0,0,1,-1,0,0,0,0,0.25,-0.25,1,1,1,1,0,2,1,1,3,1,3,0,1,1,2,1,1,1,3,1,1,3,1,1,0,0,0.25,0.5,0,0.67,0.33,0.33,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC322,Xygalatas,Mauritius,1,12,1,15,15,30,15,15,30,0,1,20,-17.4,1,0,13,4,NA,0,0,0,0,0,1,1,-1,0.25,0,1,1,1,1,0,2.67,0.67,0.67,4,0,0,2,1,3,3,1,2,3,3,1,1,2,1,1,1,1,0.75,1,0.5,0.33,0.33,0.33,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC323,Xygalatas,Mauritius,1,21,0,14,16,30,13,17,30,0,1,19,-18.4,1,0,13,3,NA,1,-1,0,1,0,2,0,2,0.25,1,1,1,1,1,0,3.67,1,1,4,1,3,2,1,3,4,3,3,3,4,1,1,3,1,1,1,0,0.75,1,0.5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-1,2,5,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC324,Xygalatas,Mauritius,1,21,0,14,16,30,14,16,30,0,0,18,-19.4,1,0,10,6,NA,0,2,0,2,0,2,0,2,0,2,1,1,1,1,0,2,1,1,4,1,3,3,1,1,2,2,2,2,2,1,1,3,1,1,0,0,0.75,0.5,1,2.33,0.33,0.33,0,0,0,0,1,1,1,1,4,1,2,0,1,1,1,0,1,1,1,4,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC325,Xygalatas,Mauritius,1,21,0,14,16,30,13,17,30,1,0,31,-6.4,2,1,11,5,NA,1,2,1,2,1,0,0,0,0.75,1,1,0.75,1,0.5,0,3,1,1,4,1,4,2,0,0,2,0,4,3,3,1,1,3,1,1,0,0,0.75,1,0.5,1,0,0,4,1,0,0,0,0,0,0,0,0,3,1,1,0,1,0,1,1,0,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC326,Xygalatas,Mauritius,1,12,1,4,26,30,4,26,30,0,0,25,-12.4,2,2,11,9,NA,1,1,0,1,0,1,1,-1,0.5,0.5,1,0.5,1,0,0,0.67,1,1,4,1,4,2,0,0,0,0,1,0,1,1,1,3,0,1,0,0,1,1,1,2,0.67,0.67,4,1,2,0,1,1,1,2,2,2,3,1,1,2,1,1,1,1,0,3,3,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC327,Xygalatas,Mauritius,1,12,1,12,18,30,14,16,30,0,1,59,21.6,2,2,10,4,NA,0,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0,2,0.67,0.67,4,1,4,2,1,3,2,3,2,3,2,1,1,2,1,1,1,1,1,1,1,1.33,0.67,0.67,0,1,4,0,1,2,1,2,1,2,2,1,1,2,1,0,1,1,-2,2,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC328,Xygalatas,Mauritius,1,12,1,17,13,30,15,15,30,1,1,26,-11.4,1,0,10,4,NA,0,2,1,0,0,0,0,0,0.25,0.5,1,1,1,1,0,0,1,1,3,1,3,3,1,3,0,3,0,3,0,1,1,3,1,1,1,1,0.5,0.5,0.5,0,0.33,0.33,3,0,0,3,1,1,0,3,0,3,0,0,1,1,0,0,0,0,2,4,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC329,Xygalatas,Mauritius,1,12,1,15,15,30,10,20,30,0,0,18,-19.4,1,0,13,3,NA,0,2,0,2,1,2,1,0,0.5,1.5,1,1,1,NA,0,3,1,1,0,0,0,0,NA,3,3,2,2,3,4,1,1,3,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,NA,1,1,1,1,1,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC330,Xygalatas,Mauritius,1,12,1,16,14,30,16,14,30,0,1,34,-3.4,2,1,7,2,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3.67,1,1,4,1,4,2,1,2,3,2,4,3,4,1,1,3,1,1,0,1,1,1,1,1.67,0.33,0.33,0,0,NA,0,1,0,2,0,0,2,3,1,1,1,1,0,1,0,1,5,5,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC331,Xygalatas,Mauritius,1,12,1,15,15,30,17,13,30,0,0,20,-17.4,1,0,13,5,NA,0,2,0,2,0,1,0,1,0,1.5,1,1,1,1,0,3.33,1,1,3,1,3,2,1,3,3,3,4,3,3,1,1,3,1,1,1,0,1,1,1,2.67,1,1,0,0,0,0,1,2,2,1,2,3,4,1,1,3,1,1,1,1,0,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC332,Xygalatas,Mauritius,1,12,1,15,15,30,13,17,30,0,0,21,-16.4,2,1,10,2,NA,0,-1,0,2,1,2,1,0,0.5,0.75,1,0.75,1,0.5,0,2.33,1,1,4,0,0,1,1,2,2,3,2,3,3,1,1,3,0,1,1,1,0,0,0,1.33,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,3,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC333,Xygalatas,Mauritius,1,21,0,8,22,30,9,21,30,0,1,52,14.6,2,5,13,7,NA,0,1,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,1,1,4,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC334,Xygalatas,Mauritius,1,12,1,8,22,30,9,21,30,0,1,18,-19.4,1,0,10,4,NA,1,0,0,0,0,0,0,0,0.25,0,1,1,1,1,0,1.67,1,1,4,1,4,3,1,3,2,3,1,3,2,1,1,3,1,1,0,0,0.5,0,1,0.33,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,5,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC335,Xygalatas,Mauritius,1,21,0,11,19,30,12,18,30,0,1,34,-3.4,3,1,6,5,NA,1,1,0,2,0,2,0,2,0.25,1.75,1,0.75,1,0.5,0,3,1,1,4,0,0,1,0,3,3,1,3,3,3,1,1,3,1,1,0,1,0.5,0.5,0.5,3,0.67,0.67,4,0,0,1,0,0,3,1,2,3,4,0,1,2,1,1,1,1,-2,1,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC336,Xygalatas,Mauritius,1,21,0,15,15,30,19,11,30,0,1,45,7.6,2,2,11,3,NA,0,2,1,2,0,2,0,2,0.25,2,1,0.75,1,0.5,0,3.33,1,1,4,0,0,0,1,0,3,3,4,3,3,1,1,3,0,1,1,0,0.75,0.5,1,2.33,0,0,1,0,0,0,1,1,2,0,2,0,3,0,1,0,1,0,1,1,0,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC337,Xygalatas,Mauritius,1,21,0,14,16,30,14,16,30,0,1,34,-3.4,2,0,6,5,NA,0,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.5,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC338,Xygalatas,Mauritius,1,12,1,6,24,30,8,22,30,0,1,38,0.6,1,1,9,3,NA,1,-2,0,-1,0,0,0,-2,0.25,-1.25,1,0.33,0,1,0,0,0.33,0.33,3,0,0,0,1,NA,0,NA,0,3,0,0,0,1,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,3,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC339,Xygalatas,Mauritius,1,12,1,9,21,30,18,12,30,0,1,23,-14.4,1,0,6,4,NA,1,1,1,-1,1,-1,1,-1,1,-0.5,1,0.5,1,0,0,1,1,1,4,0,0,1,0,1,1,2,2,3,0,1,1,3,0,1,0,0,0.5,0.5,0.5,0,0,0,3,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC340,Xygalatas,Mauritius,1,21,0,14,16,30,9,21,30,0,0,43,5.6,2,2,3,6,NA,0,2,0,1,0,1,1,0,0.25,1,1,0.75,1,0.5,0,2.33,1,1,4,1,4,2,1,0,1,1,2,3,4,1,1,3,0,0,0,1,0.75,0.5,1,1.67,1,1,0,0,0,2,1,0,2,0,0,2,3,0,1,3,1,1,1,1,1,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC341,Xygalatas,Mauritius,1,12,1,12,18,30,12,18,30,0,0,24,-13.4,1,0,9,4,NA,0,2,0,1,0,1,0,1,0,1.25,1,0.75,1,0.5,0,3,1,1,4,1,4,1,0,1,3,3,3,3,3,1,1,3,1,1,0,0,1,1,1,1.67,0.67,0.67,4,1,4,3,1,0,0,1,3,1,2,1,1,2,1,0,0,0,0,3,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC342,Xygalatas,Mauritius,1,21,0,18,12,30,17,13,30,0,1,56,18.6,2,1,11,2,NA,0,2,0,1,1,1,0,2,0.25,1.5,1,1,1,1,0,2.67,1,1,4,1,4,3,1,1,2,1,3,3,3,1,1,3,1,1,1,1,1,1,1,1,0.67,0.67,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,0,5,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC343,Xygalatas,Mauritius,1,21,0,17,13,30,14,16,30,1,1,19,-18.4,1,0,11,4,NA,0,2,1,-1,1,-1,1,0,0.75,0,1,1,1,1,0,2,1,1,3,0,0,0,1,1,1,3,2,3,3,1,1,3,1,0,0,1,0.75,1,0.5,0.67,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC344,Xygalatas,Mauritius,1,12,1,9,21,30,11,19,30,0,1,17,-20.4,1,0,6,4,NA,1,1,0,2,0,2,0,2,0.25,1.75,1,1,1,1,0,2.67,1,1,3,0,0,0,1,3,3,3,2,3,3,1,1,3,1,1,0,1,0.75,1,0.5,0.67,1,1,0,0,0,0,1,0,0,0,0,3,2,1,1,3,0,1,1,1,-2,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC345,Xygalatas,Mauritius,1,21,0,14,16,30,8,22,30,0,1,49,11.6,2,2,13,3,NA,0,0,0,2,0,2,0,1,0,1.25,1,0.75,1,0.5,0,2,1,1,4,1,1,3,0,0,1,2,2,1,3,1,1,3,1,1,1,1,0.5,0,1,1.33,0,0,0,1,1,0,1,0,1,1,1,0,2,0,0,0,1,0,1,1,1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC346,Xygalatas,Mauritius,1,12,1,16,14,30,15,15,30,0,1,45,7.6,2,4,11,7,NA,1,-2,1,-2,1,-2,0,1,0.75,-1.25,1,0.75,1,0.5,0,2.67,0.33,0.33,4,1,4,3,1,2,2,3,3,1,3,1,1,1,0,1,1,1,0.25,0,0.5,3,0.67,0.67,2,1,4,0,0,1,3,3,3,3,3,0,0,2,1,1,1,1,0,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC347,Xygalatas,Mauritius,1,21,0,11,19,30,11,19,30,0,1,33,-4.4,2,2,5,5,NA,0,-1,0,1,1,1,1,1,0.5,0.5,1,0.75,1,0.5,0,3,0.67,0.67,4,1,4,3,0,3,3,3,3,3,3,1,1,2,1,1,1,1,0.75,1,0.5,2.33,0.67,0.67,4,1,4,0,1,3,1,3,3,3,3,1,1,2,0,0,1,0,0,2,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC348,Xygalatas,Mauritius,1,21,0,10,20,30,14,16,30,1,1,33,-4.4,2,2,5,4,NA,1,2,0,1,0,0,1,1,0.5,1,1,0.67,1,0.5,0,1.67,1,1,4,0,0,0,1,3,0,1,3,3,2,NA,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC349,Xygalatas,Mauritius,1,21,0,11,19,30,7,23,30,0,1,36,-1.4,1,0,6,3,NA,0,1,0,1,0,-1,1,0,0.25,0.25,1,0.5,1,0,0,1.33,1,1,4,1,4,1,0,1,1,2,1,1,2,1,1,3,0,1,1,0,0.5,0.5,0.5,0.67,1,1,0,1,0,1,1,2,0,3,1,2,1,0,1,3,0,1,1,1,0,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC350,Xygalatas,Mauritius,1,12,1,19,11,30,15,15,30,0,1,34,-3.4,4,1,6,4,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2.33,1,1,4,1,4,2,1,3,3,3,2,3,2,1,1,3,1,1,1,1,0,0,0,0.67,0,0,4,1,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC351,Xygalatas,Mauritius,1,12,1,16,14,30,14,16,30,0,0,34,-3.4,2,2,6,3,NA,0,2,0,2,0,2,0,2,0,2,1,1,1,1,0,2,0.67,0.67,4,1,4,1,1,1,2,0,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC352,Xygalatas,Mauritius,1,21,0,15,15,30,13,17,30,0,0,55,17.6,5,4,8,3,NA,1,0,1,0,1,1,1,0,1,0.25,1,0.75,1,0.5,0,1.67,0.67,0.67,4,1,3,2,1,2,3,3,1,3,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC353,Xygalatas,Mauritius,1,12,1,17,13,30,11,19,30,0,1,32,-5.4,1,0,13,6,NA,0,1,0,1,1,0,0,0,0.25,0.5,1,1,1,1,0,2,1,1,4,1,3,2,1,2,2,3,2,3,2,1,1,3,1,1,1,1,0.5,1,0,1,0.67,0.67,0,0,0,0,0,1,0,1,1,3,2,1,1,2,0,1,1,1,0,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC354,Xygalatas,Mauritius,1,12,1,16,14,30,13,17,30,0,1,36,-1.4,1,0,6,2,NA,0,2,0,2,0,1,0,1,0,1.5,1,1,1,1,0,4,1,1,4,1,4,2,1,1,4,3,4,1,4,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC355,Xygalatas,Mauritius,1,21,0,13,17,30,13,17,30,0,1,66,28.6,2,4,7,4,NA,0,2,0,2,0,2,0,2,0,2,1,0.75,1,0.5,0,2.33,1,1,4,1,4,2,1,3,3,2,2,3,2,1,1,3,0,1,1,1,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC356,Xygalatas,Mauritius,1,12,1,16,14,30,16,14,30,0,1,42,4.6,1,0,9,1,NA,0,1,1,1,1,1,0,0,0.5,0.75,1,1,1,1,0,2,1.33,1.33,4,1,4,4,1,0,2,0,2,4,2,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC357,Xygalatas,Mauritius,1,21,0,13,17,30,15,15,30,0,1,33,-4.4,2,2,11,3,NA,0,1,0,2,0,1,0,1,0,1.25,1,0.75,1,0.5,0,1,1,1,4,1,2,2,1,3,0,3,0,3,3,1,1,3,0,1,1,1,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC358,Xygalatas,Mauritius,1,12,1,16,14,30,16,14,30,1,0,47,9.6,2,2,11,3,NA,1,-1,1,-1,1,0,1,-2,1,-1,1,1,1,1,0,2.33,1,1,4,1,4,3,1,3,3,1,2,3,2,1,1,3,1,1,0,1,0.25,0,0.5,2.33,0.67,0.67,0,0,0,0,1,1,3,2,2,3,2,0,0,2,0,1,1,1,1,2,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCRC592,Xygalatas,Mauritius,0,21,0,12,18,30,16,14,30,0,0,70,32.6,5,5,4,0,NA,0,1,0,2,0,2,0,2,0,1.75,1,1,1,1,0,0,1,1,4,1,4,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0.5,0.5,0.5,0.67,0.33,0.33,4,1,4,1,1,0,0,0,0,1,2,1,0,1,0,0,1,0,0,5,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC359,Cohen,Pesqueiro,0,12,1,16,14,30,15,15,30,0,1,18,-19.4,1,1,10,6,4,1,1,1,0,1,-1,1,0,1,0,1,0.75,1,0.5,0,3.33,1,1,4,0,0,4,1,1,4,4,3,1,3,1,1,4,0,1,1,1,1,1,1,3,1,1,4,0,NA,1,1,1,4,2,2,1,3,1,1,4,1,1,1,0,0,5,4,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC360,Cohen,Pesqueiro,1,12,1,15,15,30,13,17,30,0,1,52,14.6,1,0,8,2,4,1,2,1,2,1,2,1,2,1,2,1,1,1,1,0,2.67,1,1,4,1,4,4,1,4,2,4,3,4,3,1,1,4,1,1,1,1,0.75,1,0.5,0,1,1,4,1,4,4,0,0,0,0,0,0,0,1,1,4,1,0,1,1,0,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC361,Cohen,Pesqueiro,0,12,1,14,16,30,14,16,30,0,1,34,-3.4,2,0,4,2,4,1,1,1,0,1,0,1,0,1,0.25,0,1,1,1,0,3,0.25,0.25,1,1,4,2,1,0,3,2,3,1,3,1,1,1,1,1,1,1,1,1,1,2.67,0.25,0.25,0,1,4,0,1,NA,1,4,4,0,3,1,1,1,1,1,1,1,1,5,4,3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC362,Cohen,Pesqueiro,1,12,1,12,18,30,8,22,30,0,1,36,-1.4,1,3,12,8,4,1,2,1,1,1,1,1,1,1,1.25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC363,Cohen,Pesqueiro,1,12,1,16,14,30,25,5,30,0,0,53,15.6,1,1,2,3,4,0,-1,0,-1,0,-1,0,-2,0,-1.25,1,1,1,1,0,4,1,1,4,1,4,4,1,4,4,4,4,4,4,1,1,4,1,1,1,1,1,1,1,3,1,1,4,1,4,4,1,4,2,4,3,4,4,1,1,4,1,1,1,1,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC364,Cohen,Pesqueiro,1,12,1,19,11,30,12,18,30,0,1,25,-12.4,2,1,11,5,4,1,1,1,0,1,0,0,0,0.75,0.25,1,1,1,1,0,2.33,1,1,4,1,4,3,1,4,2,4,2,4,3,1,1,4,1,1,1,1,1,1,1,2,1,1,2,0,NA,0,1,NA,1,4,2,4,3,1,1,4,NA,1,1,1,0,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
