CERCID,RESEARCHER,SITE,TREATMENT,ORDER,INGFIRST,COREL.L,INGROUP,SUM1,COREL.S,SELF,SUM2,HONEST,SEX,AGE,AGE.C,FAMILY,CHILDREN,FORMALED,HOUSEHOLD,NATLANG,MAT1,MAT1C,MAT2,MAT2C,MAT3,MAT3C,MAT4,MAT4C,MMAT,MMATc,BGLG1ST,HIGHGOD.BG,OMNI.BG,DIEPUN,DKDIEPUN,MBG,BGR1,BGR2,BGTHINK,BGPERF,BGPERFHO,BGFREQW,BGPUNISH,BGSTEAL,BGSTLIMP,BGLYING,BGLIEIMP,BGMURDER,BGMURDIMP,BGFEEL,BGSEE,BGREWARD,BGDIE,BGSTRANGER,BGOTHERRIT,BGPERFC,HIGHGOD.LG,OMNI.LG,LGDIEPUN,MLG,LGR1,LGR2,LGTHINK,LGPERF,LGPERFHO,LGFREQW,LGPUNISH,LGSTEAL,LGSTEALIMP,LGLYING,LGLIEIMP,LGMURDER,LGMURDIMP,LGFEEL,LGSEE,LGREWARD,LGDIE,LGSTRANGER,LGOTHERRIT,LGPERFC,POLEVAL,CORELEMO,INGREMO,OUTGREMO,CORELSIM,BGTHINKH,BGFREQWH,BGSTEALH,BGLYINGH,BGMURDERH,BGREWARDH,LGTHINKH,LGFREQWH,LGSTEALH,LGLYINGH,LGMURDERH,LGREWARDH,POLEVALH,CORELEMOH,INGREMOH,OUTGREMOH
CERC279,Xygalatas,Mauritius,0,21,0,15,15,30,11,19,30,0,1,50,12.6,2,3,12,2,NA,1,1,0,0,1,0,1,0,0.75,0.25,1,0.75,1,0.5,0,0.67,1,1,4,1,4,3,0,1,0,1,0,3,2,1,1,3,1,1,1,1,0.75,0.5,1,1.33,1,1,4,1,4,3,1,3,1,1,1,3,2,0,1,3,1,1,1,1,0,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC280,Xygalatas,Mauritius,0,12,1,15,15,30,12,18,30,1,1,32,-5.4,2,1,11,3,NA,1,0,1,0,1,0,0,0,0.75,0,1,0,NA,0,0,NA,NA,NA,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.75,1,0.5,3,0.67,0.67,4,0,0,0,1,3,3,3,3,3,3,1,1,2,0,0,0,0,1,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC281,Xygalatas,Mauritius,0,21,0,11,19,30,8,22,30,0,0,22,-15.4,2,0,10,3,NA,0,1,0,2,0,0,0,1,0,1,1,0.5,0.5,0.5,0,2.33,1,1,3,0,0,2,1,3,2,3,2,3,3,0,1,3,0,1,0,0,0.25,0.5,0,0.67,1,1,0,0,0,0,0,0,0,0,0,3,2,1,0,3,0,0,1,0,1,4,5,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC282,Xygalatas,Mauritius,0,21,0,11,19,30,19,11,30,0,1,35,-2.4,2,2,11,4,NA,0,2,0,2,1,2,0,2,0.25,2,1,1,1,1,0,2.67,1,1,4,1,4,3,1,2,3,2,3,1,2,1,1,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC283,Xygalatas,Mauritius,0,12,1,16,14,30,15,15,30,0,0,61,23.6,2,3,10,2,NA,1,0,1,0,1,0,0,0,0.75,0,1,0.25,0.5,0,0,1.33,1,1,4,0,0,0,0,0,0,0,3,0,1,0,1,3,0,1,1,1,0.5,1,0,2,0.33,0.33,1,1,1,0,0,0,2,0,2,0,2,1,1,1,0,1,1,1,0,3,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC284,Xygalatas,Mauritius,0,21,0,17,13,30,11,19,30,0,1,55,17.6,2,6,2,6,NA,0,0,0,-1,0,0,0,0,0,-0.25,1,0.5,1,0,0,0.67,1,1,4,1,4,0,0,0,0,0,0,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC285,Xygalatas,Mauritius,0,21,0,15,15,30,15,15,30,0,1,45,7.6,4,2,4,6,NA,0,1,0,2,0,1,0,2,0,1.5,1,0.25,0.5,0,0,2,0.33,0.33,4,0,0,1,0,0,2,1,2,1,2,1,0,1,0,1,1,1,0.25,0,0.5,0.67,0,0,0,0,0,0,0,3,0,1,2,2,0,0,0,0,1,0,0,1,-1,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC286,Xygalatas,Mauritius,0,21,0,21,9,30,13,17,30,0,1,52,14.6,1,0,4,1,NA,0,0,1,-1,1,-1,1,-1,0.75,-0.75,1,0.67,1,0,0,1.67,0.67,0.67,4,NA,NA,1,0,0,0,0,2,0,3,1,1,2,NA,1,1,1,0.25,0.5,0,2.67,0,0,3,1,NA,1,0,0,2,0,3,0,3,0,1,0,0,1,1,1,0,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC287,Xygalatas,Mauritius,0,12,1,19,11,30,12,18,30,0,1,28,-9.4,1,0,11,5,NA,1,2,1,2,NA,1,0,-1,0.67,1,1,1,1,1,0,3.33,1,1,3,1,3,2,1,3,4,3,2,3,4,1,1,3,1,1,0,0,1,1,NA,3.33,0.33,0.33,0,1,1,1,NA,NA,2,3,4,3,4,NA,1,1,NA,0,0,0,2,5,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC288,Xygalatas,Mauritius,0,21,0,13,17,30,16,14,30,0,0,26,-11.4,2,1,10,3,NA,1,-1,1,-1,1,-1,0,2,0.75,-0.25,1,1,1,1,0,2,1,1,4,1,4,1,1,1,2,2,2,3,2,1,1,3,1,1,1,1,0.25,0.5,0,0,0.33,0.33,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC289,Xygalatas,Mauritius,0,21,0,17,13,30,15,15,30,0,0,55,17.6,1,0,11,2,NA,1,-2,1,-2,1,-2,1,-2,1,-2,1,0.75,1,0.5,0,3,1,1,4,0,NA,2,0,0,4,1,1,3,4,1,1,3,1,1,1,1,0,0,0,2.67,0.33,0.33,1,0,NA,0,0,0,3,0,1,3,4,0,0,1,0,0,1,1,1,1,3,1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC290,Xygalatas,Mauritius,0,12,1,15,15,30,15,15,30,0,0,23,-14.4,2,0,6,2,NA,0,0,0,0,0,0,0,0,0,0,1,0.75,1,0.5,0,2,1,1,4,1,4,1,1,1,2,3,2,2,2,1,1,3,0,0,1,0,0.25,0,0.5,0.67,1,1,2,0,0,0,1,1,0,2,2,1,0,0,0,3,0,0,0,1,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC291,Xygalatas,Mauritius,0,12,1,20,10,30,18,12,30,0,1,18,-19.4,1,0,8,6,NA,1,2,0,2,0,1,0,1,0.25,1.5,1,0.75,0.5,1,0,1.67,1,1,4,1,3,1,1,1,2,2,1,2,2,0,1,3,1,1,0,0,0.25,0,0.5,2,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,1,0,1,0,0,4,4,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
