Culture,CERCID,Order,GOOD_ORIG_NC,GOOD_ORIG_TL,MATCH_GOOD,GOOD_SPEC_NC,GOOD_SPEC_TL,GOOD_SPEC_BP,BAD_ORIG_NC,BAD_ORIG_TL,MATCH_BAD,BAD_SPEC_NC,BAD_SPEC_TL,BAD_SPEC_BP
Yasawa Fiji,BGP075,1,good hearted,tamata vinaka,Corrected,Heart - Good,?,"Good (Conscience, Behavior, Nature, Heart)",greedy,greedy,Match,Greed,Greed,Greedy
Yasawa Fiji,BGP075,2,good mindset,savasava na rai,Corrected,Mindset - Good ,?,"Good (Conscience, Behavior, Nature, Heart)",bad person,bad person,Match,People - Bad,Bad person,"Bad (Conscience, Behavior, Nature, Heart)"
Pesqueiro,BGP017,1,NA,Charitable,Corrected,NA,Charitable,Generous/Shares,NA,Has poor faith,Corrected,NA,Unfaithful,No Religious Faith
Pesqueiro,BGP017,2,NA,Understanding,Corrected,NA,Understanding,Understanding,NA,bad character,Corrected,NA,Bad character,"Bad (Conscience, Behavior, Nature, Heart)"
Pesqueiro,BGP017,3,NA,Humble,Corrected,NA,Humble,Humble,NA,shameless,Corrected,NA,Shameless,Shameless
Pesqueiro,BGP017,4,NA,Hospitable,Corrected,NA,Hospitality,Hospitable,NA,arrogant,Corrected,NA,Arrogance,Arrogant
Pesqueiro,BGP017,5,NA,attentive,Corrected,NA,Attentive,Attentive,NA,proud,Corrected,NA,Arrogance,Arrogant
Yasawa Fiji,BGP079,1,good attitude,show mercy,Corrected,Attitude - Good ,Merciful,Attitude,swearing,disobey,Corrected,Swearing,Disobedience,Disobedient
Yasawa Fiji,BGP079,2,talent in public speakers,obedience,Corrected,Speech - Public,Obedience,Speaking,pride,did not listen well,Corrected,Pride,Not listening,Doesn't Listen
Yasawa Fiji,BGP079,3,good attitude,listen always,Corrected,Attitude - Good ,Listening,Attitude,your attitude problem,laziness,Corrected,Attitude - Bad,Laziness,Lazy
Yasawa Fiji,BGP079,4,way we walk,good person,Corrected,Walking,Good person,"Good (Conscience, Behavior, Nature, Heart)",bad attitude,defeated easily,Corrected,Attitude - Bad,Defeated easily,Gives Up
Yasawa Fiji,BGP079,5,socialise,good church goer,Corrected,Sociable,Going to church,Sociable,making noise,doesn't go to church,Corrected,Disturbances - Noise,Not going to church,No Church
Yasawa Fiji,BGP082,1,church goer,good attitude,Corrected,Church,Good attitude,Church,doesn't go to church,drunkard,Corrected,No Church,Substance abuse,No Church
Yasawa Fiji,BGP101,1,NA,always listen ,Corrected,NA,Always listen,Always Listens,NA,disobedience,Corrected,NA,Disobedience,Disobedient
Yasawa Fiji,BGP101,2,NA,obedience,Corrected,NA,Obedience,Obedient,NA,disobey,Corrected,NA,Disobedience,Disobedient
Yasawa Fiji,BGP101,3,NA,sharing,Corrected,NA,Sharing,Generous/Shares,NA,follow his own heart,Corrected,NA,Following his own heart,Follows His Own Heart
Yasawa Fiji,BGP101,4,NA,look after,Corrected,NA,Looking after eachother,Considerate,NA,did not attend church,Corrected,NA,Not going to church,No Church
Yasawa Fiji,BGP101,5,NA,hardworking,Corrected,NA,Hardworking,Hard-working,NA,disobedience,Corrected,NA,Disobedience,Disobedient
Pesqueiro,BGP900,1,caring,trust; good thoughts;  sincere towards near ones; good way of speaking; way of acting,Corrected,Caring,Trust; good thoughts; sincere towards near ones; good way of speaking; way of acting,Caring,argumentative,arrogant; selfish;  love fighting; demanding; no good way of living,Corrected,Arguments,Arrogant; selfish; love fighting; demanding; no good way of living,Argumentative
Pesqueiro,BGP900,2,companion,good manners; good mentality; does not gossip; keep secrets; helpful,Corrected,Companion,Good manners; good mentality; does not gossip; keep secrets; helpful,Companion,irresponsible,jealousy; criticise; put obstacle when going forward; back biting; refuse to help,Corrected,Irresponsible,Jealousy; criticize; put obstacle when going forward; back biting; refuse to help,Irresponsible
Pesqueiro,CERC359,1,helps,polite,Corrected,Helpful,Polite,Helpful,unhelpful,unloved/unloveable,Corrected,Not Helpful,Unloved/unloveable,Unhelpful
Pesqueiro,CERC404,1,good character,respects others,Corrected,Character - Good ,Respectful,Character,no respect,no self-respect,Corrected,Disrespectful,No self-respect,Disrespectful
Tyva Republic,CERC457,1,NA,honest,Corrected,NA,Honesty,Honest,NA,angry,Corrected,NA,Anger,Angry
Tyva Republic,CERC457,2,NA,kind,Corrected,NA,Kindness,Kind,NA,drunkard,Corrected,NA,Substance abuse,Drugs/Alcohol/Substance
Tyva Republic,CERC457,3,NA,considerate,Corrected,NA,Considerate,Considerate,NA,drug-addicted,Corrected,NA,Substance abuse,Drugs/Alcohol/Substance
Tyva Republic,CERC457,4,NA,doesn't drink,Corrected,NA,No substance abuse,Drugs/Alcohol/Substance,NA,prisoner,Corrected,NA,Delinquent,Prisoner
Tyva Republic,CERC457,5,NA,doesn't smoke,Corrected,NA,No substance abuse,Drugs/Alcohol/Substance,NA,mean,Corrected,NA,Mean,Cruel
Tyva Republic,CERC491,1,hard-working,NA,Corrected,hard-working,NA,Hard-working,drunkard,NA,Corrected,drunkard,NA,Drugs/Alcohol/Substance
Tyva Republic,CERC491,2,clever,NA,Corrected,clever,NA,Intelligent,smoker,NA,Corrected,smoker,NA,Drugs/Alcohol/Substance
Tyva Republic,CERC491,3,helpful,NA,Corrected,helpful,NA,Helpful,pugnacious,NA,Corrected,pugnacious,NA,Argumentative
Tyva Republic,CERC491,4,white conscience,NA,Corrected,white conscience,NA,"Good (Conscience, Behavior, Nature, Heart)",harmful,NA,Corrected,harmful,NA,Harm Others
Tyva Republic,CERC491,5,thinking of other people,NA,Corrected,thinking of other people,NA,Thoughtful,greedy,NA,Corrected,greedy,NA,Greedy
Yasawa Fiji,CERC559,1,show mercy,honest church goer,Corrected,Merciful,Going to church,Church,disobey,doesn't know their family ties,Corrected,Disobedience,Doesn’t know their family ties,Doesn't Know Family Ties
Yasawa Fiji,CERC559,2,obedience,hardworking,Corrected,Obedience,Hardworking,Hard-working,did not listen well,doesn't go to church,Corrected,Not Listening,Not going to church,No Church
Yasawa Fiji,CERC559,3,listen always,know their family ties,Corrected,Listening ,Good family,Family,laziness,swearing,Corrected,Lazy,Foul language,Bad Language (Swearing)
Yasawa Fiji,CERC559,4,good person,look after each other well/thinking of others,Corrected,People - Good ,Looking after eachother,Considerate,defeated easily,cheating,Corrected,Defeat - Easily,Cheating,Dishonest
Yasawa Fiji,CERC559,5,good church goer,wisdom with their visions,Corrected,Church - Good ,Wisdom,Wisdom,doesn't go to church,disobedience,Corrected,No Church,Disobedience,Disobedient
Yasawa Fiji,CERC560,1,good attitude,church goer,Corrected,Attitude - Good ,Going to church,Attitude,drunkard,doesn't go to church,Corrected,Alcohol - Drunks,Not going to church,Drugs/Alcohol/Substance
Yasawa Fiji,CERC575,3,good job,heart of giving,Corrected,Work - Good,Giving from the heart,Generous/Shares,unemployment,unemployment,Match,Not Employed,Unemployment,Unemployed
Yasawa Fiji,CERC575,4,Business making,thinking of others,Corrected,Business Making,Thoughtful,Considerate,no farming,no farming,Match,No Farming,No farmer,Doesn't Farm
Yasawa Fiji,CERC575,5,farming,sharing,Corrected,Farming,Sharing,Farming,no finance,no finance,Match,No Finance,No finance,No Money
Yasawa Fiji,CERC576,3,heart of giving,good job,Corrected,Charitable ,Employment,Generous/Shares,having an affair,having an affair,Match,Adultery,Adultery,Adultery
Yasawa Fiji,CERC576,4,thinking of others,Business making,Corrected,Thoughts - Others,Business making,Thoughtful,gossiping,gossiping,Match,Gossip,Gossipping,Gossip
Yasawa Fiji,CERC576,5,sharing,farming,Corrected,Sharing,Farming,Generous/Shares,hatred heart,hatred heart,Match,Hate - Heart,Hatred,Hateful
Yasawa Fiji,CERC583,1,NA,good relations,Corrected,NA,Good relationships,Relationships,NA,pride,Corrected,NA,Pride,Proud
Yasawa Fiji,CERC583,2,NA,true worshipper,Corrected,NA,Worshipping God,Religious Faith,NA,pride,Corrected,NA,Pride,Proud
Yasawa Fiji,CERC583,3,NA,good attitude,Corrected,NA,Good attitude,"Good (Conscience, Behavior, Nature, Heart)",NA,commit wrong,Corrected,NA,Commit wrong,"Bad (Conscience, Behavior, Nature, Heart)"
Yasawa Fiji,CERC583,4,NA,ambitious person,Corrected,NA,Ambitious ,Ambitious,NA,doesn't go to church,Corrected,NA,Not going to church,No Church
Yasawa Fiji,CERC583,5,NA,Good person ,Corrected,NA,Good person,"Good (Conscience, Behavior, Nature, Heart)",NA,pride,Corrected,NA,Pride,Proud
Yasawa Fiji,CERC584,1,NA,show mercy,Corrected,NA,Merciful,Merciful,NA,liar,Corrected,NA,Dishonesty,Dishonest
Yasawa Fiji,CERC584,2,NA,happy person,Corrected,NA,Happiness,Happy,NA,thieves,Corrected,NA,Stealing,Theft
Yasawa Fiji,CERC584,3,NA,church goer always,Corrected,NA,Going to church,Goes to Church,NA,fighting,Corrected,NA,Fighting,Violent
Yasawa Fiji,CERC584,4,NA,show loving attitude,Corrected,NA,Loving,Loving,NA,gossiping,Corrected,NA,Gossipping,Gossip
Yasawa Fiji,CERC584,5,NA,bringing people together,Corrected,NA,Unity,Unity,NA,hatred heart,Corrected,NA,Hatred,Hateful
Yasawa Fiji,CERC588,1,NA,Always playful,Corrected,NA,Always,Playful,NA,liar,Corrected,NA,Dishonesty,Dishonest
Yasawa Fiji,CERC588,2,NA,Good hearted person,Corrected,NA,Good person,"Good (Conscience, Behavior, Nature, Heart)",NA,thieves,Corrected,NA,Stealing,Theft
Yasawa Fiji,CERC588,3,NA,good person,Corrected,NA,Good person,"Good (Conscience, Behavior, Nature, Heart)",NA,swearing,Corrected,NA,Foul language,Bad Language (Swearing)
Yasawa Fiji,CERC588,4,NA,righteousness,Corrected,NA,Righteous,Righteousness,NA,jealousy,Corrected,NA,Jealousy,Jealous
Yasawa Fiji,CERC588,5,NA,sharing,Corrected,NA,Sharing,Generous/Shares,NA,self greedy,Corrected,NA,Greed,Greedy
Yasawa Fiji,CERC589,1,good attitude,NA,Corrected,NA,NA,Attitude,greedy,NA,Corrected,NA,NA,Greedy
Yasawa Fiji,CERC589,2,show mercy,NA,Corrected,NA,NA,Merciful,thieves,NA,Corrected,NA,NA,Theft
Yasawa Fiji,CERC589,3,sharing,NA,Corrected,NA,NA,Generous/Shares,murder,NA,Corrected,NA,NA,Murder
Yasawa Fiji,CERC589,4,giving from the heart,NA,Corrected,NA,NA,Generous/Shares,hate others,NA,Corrected,NA,NA,Hateful
Yasawa Fiji,CERC589,5,obedience,NA,Corrected,NA,NA,Obedient,disobedience,NA,Corrected,NA,NA,Disobedient
Yasawa Fiji,CERC591,1,NA,good attitude,Corrected,NA,Good attitude,Attitude,NA,disobedience,Corrected,NA,Disobedience,Disobedient
Yasawa Fiji,CERC591,2,NA,thinking of others,Corrected,NA,Thoughtful,Thoughtful,NA,does not listen,Corrected,NA,Not listening,Doesn't Listen
Yasawa Fiji,CERC591,3,NA,obey the rule,Corrected,NA,Obedience,Obedient,NA,liar,Corrected,NA,Dishonesty,Dishonest
Yasawa Fiji,CERC591,4,NA,helping others,Corrected,NA,Helpful,Helpful,NA,NA,Match,NA,?,NA
Yasawa Fiji,CERC591,5,NA,patient at heart,Corrected,NA,Patience,Patient,NA,NA,Match,NA,?,NA
Hadza,BGP001,1,Good heart,Good heart,Match,Heart - Good ,Good heart,"Good (Conscience, Behavior, Nature, Heart)",Bad heart,Bad heart,Match,Heart - Bad,Bad heart,"Bad (Conscience, Behavior, Nature, Heart)"
Hadza,BGP001,2,Good intelligence,Good intelligence,Match,Intelligent,Intelligence,Intelligent,Bad head,Bad head,Match,Head - Bad,Bad mentality,"Bad (Conscience, Behavior, Nature, Heart)"
Hadza,BGP001,3,Good stomach,Good stomach,Match,Full,Full stomach,Full Stomach,NA,NA,Match,NA,NA,NA
Inland Tanna,BGP002,1,Welcomes people,Welcomes people,Match,Hospitable,Hospitality,Hospitable,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,BGP002,2,Sharing,Sharing,Match,Sharing,Sharing,Generous/Shares,Hurting others,Hurting others,Match,Hurting - Others,Bad behavior,Harm Others
Inland Tanna,BGP002,3,Respect,Respect,Match,Respect,Respectful,Respectful,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,BGP002,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,BGP002,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Inland Tanna,BGP003,1,Kindness,Kindness,Match,Kind,Kindness,Kind,Unkindness,Unkindness,Match,Not Kind,Unkind,Unkind
Inland Tanna,BGP003,2,No fighting,No fighting,Match,No Violence - Fighting,Peace,No Violence,Fighting,Fighting,Match,Violence  - Fighting,Fighting,Violent
Inland Tanna,BGP003,3,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,BGP003,4,No swearing,No swearing,Match,No Swearing,No foul language,No Swearing,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,BGP003,5,Respect,Respect,Match,Respect,Respectful,Respectful,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,BGP004,1,Serving food to people,Serving food to people,Match,Charitable - Food,Serving food,Generous/Shares,Not serving food to people,Not serving food to people,Match,Not Chartiable - Food,Unfriendly,Not Feeding Others
Inland Tanna,BGP004,2,Kindness,Kindness,Match,Kind,Kindness,Kind,Unkindness,Unkindness,Match,Not Kind,Unkind,Unkind
Inland Tanna,BGP004,3,Helping widows,Helping widows,Match,Helpful - Widows,Helpful,Helpful,Not helping widows,Not helping widows,Match,Not Helpful - Widows,Unhelpful,Unhelpful
Inland Tanna,BGP004,4,Respect,Respect,Match,Respect,Respectful,Respectful,Disrespect,Disrespect,Match,Disrespectful,Disrespectful,Disrespectful
Inland Tanna,BGP004,5,Giving,Giving,Match,Charitable,Generous,Generous/Shares,Not giving,Not giving,Match,Not Chartiable - Giving,Selfish,Not Feeding Others
Inland Tanna,BGP005,1,Respect elders,Respect elders,Match,Respect - Elders,Respectful,Respectful,Disrespecting elders,Disrespecting elders,Match,Disrespectful - Elders,Disrespectful,Disrespectful
Inland Tanna,BGP005,2,Share food to community,Share food to community,Match,Sharing - Food w/ Community,Sharing,Generous/Shares,Not sharing food,Not sharing food,Match,Not Sharing,Selfish,Doesn't Feed Others
Inland Tanna,BGP005,3,No swearing,No swearing,Match,No Swearing,No foul language,No Swearing,Stealing,Stealing,Match,Stealing,Stealing,Theft
Inland Tanna,BGP005,4,No stealing,No stealing,Match,No Stealing,No stealing,No Stealing,Swearing,Swearing,Match,Swearing,Foul language,Bad Language (Swearing)
Inland Tanna,BGP005,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Lovu Fiji,BGP006,1,Modest,Modest,Match,Modest,Humble,Modest,Judging others,Judging others,Match,Judging,Judgemental,Judgmental
Lovu Fiji,BGP006,2,Empathy,Empathy,Match,Empathy,Empathy,Compassionate,Teasing,Teasing,Match,Teasing,Insulting,Teases
Lovu Fiji,BGP006,3,Idealistic,Idealistic,Match,Idealistic,Idealistic,Idealistic,Showoff,Showoff,Match,Showoff,Arrogance,Showoff
Lovu Fiji,BGP006,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Lovu Fiji,BGP006,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Lovu Fiji,BGP007,1,Helping poor/needy,Helping poor/needy,Match,Helpful - Poor,Helpful,Helpful,Bad peer groups,Bad peer groups,Match,Relationship - Bad,Bad peer influence,"Bad Company, Peers"
Lovu Fiji,BGP007,2,Provide needs/wants for people,Provide needs/wants for people,Match,Helpful - Providing,Helpful,Helpful,Drinking alcohol,Drinking alcohol,Match,Alcohol - Drinking,Substance abuse,Drugs/Alcohol/Substance
Lovu Fiji,BGP007,3,Helping others,Helping others,Match,Helpful - Others,Helpful,Helpful,Smoking,Smoking,Match,Smoking,Substance abuse,Drugs/Alcohol/Substance
Lovu Fiji,BGP007,4,Helping sick people,Helping sick people,Match,Helpful - Sick,Helpful,Helpful,Fights,Fights,Match,Violence  - Fighting,Fighting,Violent
Lovu Fiji,BGP007,5,NA,NA,Match,NA,NA,NA,Getting in trouble,Getting in trouble,Match,Behaviour - Trouble,Trouble maker,Troublemaker
Lovu Fiji,BGP008,1,Helping,Helping,Match,Helpful,Helpful,Helpful,Togetherness,Togetherness,Match,Harmony,Unity,Togetherness
Lovu Fiji,BGP008,2,Caring,Caring,Match,Caring,Caring,Caring,Jealous,Jealous,Match,Jealousy,Jealousy,Jealous
Lovu Fiji,BGP008,3,Cooking food,Cooking food,Match,Cooking,Cooking,Cooking,Dishonest,Dishonest,Match,Dishonest,Dishonesty,Dishonest
Lovu Fiji,BGP008,4,helping in everything,helping in everything,Match,Helpful - Everything,Helpful,Helpful,gossiping,gossiping,Match,Gossip,Gossipping,Gossip
Lovu Fiji,BGP008,5,at home/school,at home/school,Match,School/Home,Education,Education,NA,NA,Match,NA,NA,NA
Lovu Fiji,BGP009,1,Honesty,Honesty,Match,Honesty,Honesty,Honest,Stealing,Stealing,Match,Stealing,Stealing,Theft
Lovu Fiji,BGP009,2,Be a good friend,Be a good friend,Match,Friendly,Friendly,Friendly,troublemaker,troublemaker,Match,Behaviour - Trouble,Trouble maker,Troublemaker
Lovu Fiji,BGP009,3,Think of others as our brothers or sisters,Think of others as our brothers or sisters,Match,Considerate,Thoughtful,Considerate,Does not help others,Does not help others,Match,Not Helpful,Unhelpful,Unhelpful
Lovu Fiji,BGP009,4,Don't gossip,Don't gossip,Match,No Gossip,Mind own business,Not Nosy,NA,NA,Match,NA,NA,NA
Lovu Fiji,BGP009,5,Help others,Help others,Match,Helpful - Others,Helpful,Helpful,NA,NA,Match,NA,NA,NA
Mauritius,BGP010,1,help each other,help each other,Match,Helpful - Others,Helpful,Helpful,no respect,no respect,Match,Disrespectful,Disrespectful,Disrespectful
Mauritius,BGP010,2,NA,NA,Match,NA,NA,NA,blame others,blame others,Match,Blame,Blame others,Irresponsible
Mauritius,BGP010,3,NA,NA,Match,NA,NA,NA,swears,swears,Match,Swearing,Foul language,Bad Language (Swearing)
Mauritius,BGP010,4,NA,NA,Match,NA,NA,NA,speaks very badly to others,speaks very badly to others,Match,Speech - Bad to others,Talks badly,Doesn't Speak Well
Mauritius,BGP010,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Mauritius,BGP010,6,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Mauritius,BGP010,7,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Mauritius,BGP012,1,trust,trust,Match,Trust,Trustworthy,Honest,arrogant,arrogant,Match,Arrogance,Arrogance,Arrogant
Mauritius,BGP012,2,good thoughts,good thoughts,Match,Thoughts - Good,good thoughts,Thoughtful,selfish,selfish,Match,Selfish,selfish,Selfish
Mauritius,BGP012,3,sincere towards near ones,sincere towards near ones,Match,Sincerity,Sincere,Sincere,love fighting,love fighting,Match,Violence  - Fighting,Fighting,Violent
Mauritius,BGP012,4,good way of speaking,good way of speaking,Match,Speech,good way of speaking,Speaking,demanding,demanding,Match,Demanding,demanding,Demanding
Mauritius,BGP012,5,good way of acting,way of acting,Match,Actions,way of acting,"Good (Conscience, Behavior, Nature, Heart)",no good way of living,no good way of living,Match,No Life - Good,no good way of living,"Bad (Conscience, Behavior, Nature, Heart)"
Mauritius,BGP013,1,good manners,good manners; good mentality; does not gossip; keep secrets; helpful,Match,Manners - Good,Good manners; good mentality; does not gossip; keep secrets; helpful,Manners,jealousy,jealousy,Match,Jealousy,jealousy,Jealous
Mauritius,BGP013,2, good mentality,good mentality,Match,Mentality,good mentality,Intelligent,criticise,criticise,Match,Criticize,Insulting,Critical
Mauritius,BGP013,3,does not gossip,does not gossip,Match,No Gossip,no gossipping,Not Gossipy,put obstacle when going forward,put obstacle when going forward,Match,Obstacle,put obstacle when going forward,Impeding Others
Mauritius,BGP013,4,keep secrets,keep secrets,Match,Secretive,keep secrets,Keeps Secrets,back biting,back biting,Match,Betrayal,Gossipping,Betrayal/Backbiting
Mauritius,BGP013,5,helpful,helpful,Match,Helpful,helpful,Helpful,refuse to help,refuse to help,Match,Not Helpful,Unhelpful,Unhelpful
Mauritius,BGP014,1,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Pesqueiro,BGP015,1,everyone's friend,everyone's friend,Match,Friendly - Everyone,Friend,Friendly,always fighting,always fighting,Match,Violence  - Fighting,Fighting,Violent
Pesqueiro,BGP015,2,normal life,normal life,Match,Life - Normal,Normal life,Life,NA,NA,Match,NA,NA,NA
Pesqueiro,BGP015,3,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Pesqueiro,BGP015,4,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Pesqueiro,BGP016,1,gratitude,gratitude,Match,Gratitude,Gratitude,Gratitude,Bad character,Bad character,Match,Character - Bad,Bad character,"Bad (Conscience, Behavior, Nature, Heart)"
Pesqueiro,BGP016,2,personality,personality,Match,Personality,Personality,Personality,cheat,cheat,Match,Adultery,Cheating,Adultery
Pesqueiro,BGP016,3,friend,friend,Match,Friends,Friend,Friendly,gets in the way/interfering,gets in the way/interfering,Match,Interference,Interference,Meddling
Pesqueiro,BGP016,4,good person,good person,Match,People - Good ,Good person,"Good (Conscience, Behavior, Nature, Heart)",thief,thief,Match,Stealing - Thieves,Stealing,Theft
Pesqueiro,BGP016,5,humilty,humilty,Match,Humble,Humility,Humble,enemy,enemy,Match,Enemies,Enemy,Enemy
Pesqueiro,BGP016,6,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Pesqueiro,BGP016,7,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Tyva Republic,BGP018,1,sober,sober,Match,Sober,No substance abuse,Drugs/Alcohol/Substance,cunning,cunning,Match,Cunning,Cunning,Crafty/Cunning
Tyva Republic,BGP018,2,white setkildig,white setkildig,Match,?,?,"Good (Conscience, Behavior, Nature, Heart)",liar,liar,Match,Lies,Dishonesty,Dishonest
Tyva Republic,BGP018,3,helpful,helpful,Match,Helpful,Helpful,Helpful,quarrelsome,quarrelsome,Match,Arguments,Quarrelsome,Argumentative
Tyva Republic,BGP018,4,kind,kind,Match,Kind,Kindness,Kind,dodger,dodger,Match,Avoid,Dishonesty,Unsociable
Tyva Republic,BGP018,5,fruitful,fruitful,Match,Fruitful,Fruitful,Friendly,bossy,bossy,Match,Bossy,Demanding,Bossy
Tyva Republic,BGP019,1,relaxed,relaxed,Match,Relax,Relaxed,Relaxed,shouts at people,shouts at people,Match,Shouting,Shouting,Noisy
Tyva Republic,BGP019,2,soft hearted,soft hearted,Match,Soft- Heart,Kindness,Peaceful,dismissive/eye-rolling,dismissive/eye-rolling,Match,Dismissive,Dismissive,Dismissive
Tyva Republic,BGP019,3,helpful,helpful,Match,Helpful,Helpful,Helpful,snobbish,snobbish,Match,Snob,Arrogance,Snobbish
Tyva Republic,BGP019,4,joyful,joyful,Match,Joy,Happiness,Joy,cunning,cunning,Match,Cunning,Cunning,Crafty/Cunning
Tyva Republic,BGP019,5,soft,soft,Match,Soft ,Kindness,Peaceful,cruel,cruel,Match,Cruel,Cruelty,Cruel
Tyva Republic,BGP020,1,clever,clever,Match,Clever,Intelligence,Intelligent,liar,liar,Match,Lies,Dishonesty,Dishonest
Tyva Republic,BGP020,2,humane,humane,Match,Humane,Compassionate,Humane,not honest,not honest,Match,Not Honest,Dishonesty,Dishonest
Tyva Republic,BGP020,3,honest,honest,Match,Honesty,Honesty,Honest,stupid,stupid,Match,Stupid,Foolish,Ignorance/Stupidity/Uncultured
Tyva Republic,BGP020,4,hard-working,hard-working,Match,Work - Hard,Hardworking,Hard-working,lazy,lazy,Match,Lazy,Laziness,Lazy
Tyva Republic,BGP020,5,tommanyg,tommanyg,Match,?,?,Modest,envious,envious,Match,Envy,Jealousy,Envious
Tyva Republic,BGP021,1,respect elderly ,respect elderly ,Match,Respect - Elders,Respectful,Respectful,not respectful,not respectful,Match,Disrespectful,Disrespectful,Disrespectful
Tyva Republic,BGP021,2,little setkildig,little setkildig,Match,?,?,"Good (Conscience, Behavior, Nature, Heart)",drinks a lot,drinks a lot,Match,Alcohol - Drinking,Substance abuse,Drugs/Alcohol/Substance
Tyva Republic,BGP021,3,doesn't drink,doesn't drink,Match,No Alcohol - Drinking,No substance abuse,Drugs/Alcohol/Substance,smokes ,smokes ,Match,Smoking,Substance abuse,Drugs/Alcohol/Substance
Tyva Republic,BGP021,4,doesn't smoke,doesn't smoke,Match,No Smoking,No substance abuse,Drugs/Alcohol/Substance,NA,NA,Match,NA,NA,NA
Tyva Republic,BGP021,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
Tyva Republic,BGP022,1,soft,soft,Match,Soft ,Kindness,Peaceful,stubborn,stubborn,Match,Stubborn,Stubborn,Stubborn
Tyva Republic,BGP022,2,generous,generous,Match,Charitable,Generous,Generous/Shares,stingy,stingy,Match,Stingy,Stingy,Stingy
Tyva Republic,BGP022,3,honest,honest,Match,Honesty,Honesty,Honest,quarrelsome,quarrelsome,Match,Arguments,Quarrelsome,Argumentative
Tyva Republic,BGP022,4,hard-working,hard-working,Match,Work - Hard,Hardworking,Hard-working,lazy,lazy,Match,Lazy,Laziness,Lazy
Tyva Republic,BGP022,5,smart/clever,smart/clever,Match,Intelligent,Intelligence,Intelligent,liar,liar,Match,Lies,Dishonesty,Dishonest
Tyva Republic,BGP023,1,pure-hearted,pure-hearted,Match,Pure - Hearted,Good conscience,"Good (Conscience, Behavior, Nature, Heart)",greedy,greedy,Match,Greed,Greed,Greedy
Tyva Republic,BGP023,2,honest,honest,Match,Honesty,Honesty,Honest,envious,envious,Match,Envy,Jealousy,Envious
Tyva Republic,BGP023,3,kind to people,kind to people,Match,Kind - People,Kindness,Kind,gluttenous,gluttenous,Match,Gluttony,Gluttony,Gluttonous
Tyva Republic,BGP023,4,helpful,helpful,Match,Helpful,Helpful,Helpful,evil,evil,Match,Evil,Bad person,Evil
Tyva Republic,BGP023,5,hard-working,hard-working,Match,Work - Hard,Hardworking,Hard-working,chashpaa; flattery,chashpaa; flattery,Match,Flattery ,Flattering,Flattery
Tyva Republic,BGP024,1,helpful,helpful,Match,Helpful,Helpful,Helpful,lazy,lazy,Match,Lazy,Laziness,Lazy
Tyva Republic,BGP024,2,hard-working,hard-working,Match,Work - Hard,Hardworking,Hard-working,cruel to living things,cruel to living things,Match,Cruel,Cruelty,Cruel
Tyva Republic,BGP024,3,good,good,Match,Good,Good behavior,"Good (Conscience, Behavior, Nature, Heart)",coward,coward,Match,Coward,Coward,Cowardly
Tyva Republic,BGP024,4,respectful,respectful,Match,Respect,Respectful,Respectful,bully,bully,Match,Bully,Bullying,Bully
Tyva Republic,BGP024,5,nice to everyone,nice to everyone,Match,Nice - Everyone,Friendly,Friendly,disrespectiful,disrespectiful,Match,Disrespectful,Disrespectful,Disrespectful
Tyva Republic,BGP025,1,honest,honest,Match,Honesty,Honesty,Honest,envious,envious,Match,Envy,Jealousy,Envious
Tyva Republic,BGP025,2,compassionate (melted-liver),compassionate (melted-liver),Match,Compassionate,Compassionate,Compassionate,disingenuous,disingenuous,Match,Dishonest,Insincere,Dishonest
Tyva Republic,BGP025,3,open,open,Match,Open,Open,Open,greedy,greedy,Match,Greed,Greed,Greedy
Tyva Republic,BGP025,4,stubborn,stubborn,Match,Stubborn,Stubborn,Stubborn,stingy,stingy,Match,Stingy,Stingy,Stingy
Tyva Republic,BGP025,5,NA,NA,Match,NA,NA,NA,NA,NA,Match,NA,NA,NA
