CERCID,SITE,SELFGAME,DISTANT,PROXIM,DIEPUN,OMNI.BG,AGE,SEX,CHILDREN,FORMALED,HONSAL,DISSAL,HONBIN,DISBIN,HONDIS,TREATMENT,INGFIRST,gamecheck,gmcheck.imp,HADZA
CERC88,Hadza,0,16,14,NA,NA,50,0,8,0,0.666666667,NA,1,0,1,0,1,NA,0,1
CERC89,Hadza,0,10,20,1,1,35,1,2,0,NA,NA,0,0,0,0,1,NA,0,1
CERC9,Coastal Tanna,0,16,14,1,1,57,0,5,6,NA,NA,0,0,0,0,0,0,0,0
CERC90,Hadza,0,7,23,NA,NA,58,1,9,3,NA,NA,0,0,0,0,0,NA,0,1
CERC91,Hadza,0,15,15,0,NA,24,0,3,0,NA,NA,0,0,0,0,1,NA,0,1
CERC92,Hadza,0,16,14,NA,NA,32,0,5,0,NA,NA,0,0,0,0,1,NA,1,1
CERC93,Hadza,0,0,30,1,NA,46,0,2,1,NA,NA,0,0,0,0,1,NA,0,1
CERC94,Hadza,0,11,19,NA,NA,40,1,7,7,NA,NA,0,0,0,0,0,NA,0,1
CERC95,Hadza,0,13,17,1,1,43,1,4,0,NA,0.8,0,1,1,0,1,NA,0,1
CERC96,Hadza,0,17,13,0.5,1,27,0,2,3,NA,NA,0,0,0,0,1,NA,0,1
CERC97,Hadza,0,12,18,0,0.5,53,1,2,0,NA,NA,0,0,0,0,0,NA,0,1
CERC98,Hadza,0,0,30,NA,NA,37,1,2,0,NA,NA,0,0,0,0,0,NA,0,1
CERC99,Hadza,0,14,16,1,1,45,1,9,7,NA,NA,0,0,0,0,0,NA,0,1
UCRC592,Mauritius,0,12,18,1,1,70,0,5,4,NA,NA,0,0,0,0,0,0,0,0
CERC1,Coastal Tanna,1,12,18,0.5,1,40,0,4,0,NA,NA,0,0,0,0,1,0,0,0
CERC10,Coastal Tanna,1,13,17,1,1,35,0,2,10,NA,NA,0,0,0,0,1,0,0,0
CERC100,Hadza,1,8,22,NA,NA,47,1,5,0,NA,NA,0,0,0,0,0,NA,1,1
CERC101,Hadza,1,12,18,1,1,47,0,5,0,NA,NA,0,0,0,0,1,NA,0,1
CERC102,Hadza,1,10,20,NA,NA,35,1,5,0,NA,NA,0,0,0,0,0,NA,0,1
CERC103,Hadza,1,10,20,1,1,28,0,4,0,NA,NA,0,0,0,0,0,NA,0,1
CERC104,Hadza,1,12,18,NA,NA,21,1,0,9,0.75,1,1,1,2,0,1,NA,0,1
CERC105,Hadza,1,15,15,0.5,1,40,1,4,6,NA,NA,0,0,0,0,0,NA,0,1
CERC106,Hadza,1,19,11,1,1,60,1,8,0,0.2,1,1,1,2,0,0,NA,0,1
CERC107,Hadza,1,13,17,1,1,23,1,0,7,NA,NA,0,0,0,0,0,NA,0,1
